	V10_S286_L006_R1_001.fastq.coral.counts.txt	V15_S295_L006_R1_001.fastq.coral.counts.txt	V16_S296_L006_R1_001.fastq.coral.counts.txt	V1_S275_L006_R1_001.fastq.coral.counts.txt	V2_S276_L006_R1_001.fastq.coral.counts.txt	V9_S285_L006_R1_001.fastq.coral.counts.txt	W10_S288_L006_R1_001.fastq.coral.counts.txt	W14_S297_L006_R1_001.fastq.coral.counts.txt	W15_S298_L006_R1_001.fastq.coral.counts.txt	W1_S277_L006_R1_001.fastq.coral.counts.txt	W2_S278_L006_R1_001.fastq.coral.counts.txt	W8_S287_L006_R1_001.fastq.coral.counts.txt	X13_S299_L006_R1_001.fastq.coral.counts.txt	X15_S300_L006_R1_001.fastq.coral.counts.txt	X1_S279_L006_R1_001.fastq.coral.counts.txt	X2_S280_L006_R1_001.fastq.coral.counts.txt	X6_S289_L006_R1_001.fastq.coral.counts.txt	X8_S290_L006_R1_001.fastq.coral.counts.txt	Y13_S301_L006_R1_001.fastq.coral.counts.txt	Y15_S302_L006_R1_001.fastq.coral.counts.txt	Y1_S281_L006_R1_001.fastq.coral.counts.txt	Y2_S282_L006_R1_001.fastq.coral.counts.txt	Y8_S291_L006_R1_001.fastq.coral.counts.txt	Y9_S292_L006_R1_001.fastq.coral.counts.txt	Z13_S303_L006_R1_001.fastq.coral.counts.txt	Z15_S304_L006_R1_001.fastq.coral.counts.txt	Z1_S283_L006_R1_001.fastq.coral.counts.txt	Z2_S284_L006_R1_001.fastq.coral.counts.txt	Z5_S293_L006_R1_001.fastq.coral.counts.txt	Z6_S294_L006_R1_001.fastq.coral.counts.txt	
__alignment_not_unique	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
__ambiguous	8565	7435	6157	7308	7366	260	8036	6420	6577	1518	7195	7863	2199	6448	7532	7834	6705	5727	6806	6987	9687	9369	6900	7553	262	7160	1216	154	86	81	
__no_feature	234539	245605	189924	264884	241393	12157	376043	235330	256313	92530	261654	309153	110003	219422	315704	205676	235201	270540	175835	177084	247922	255679	199046	242783	11926	229888	46165	10509	3843	3900	
__not_aligned	129817	117977	109475	136009	122203	7110	196209	140666	115555	45206	143695	147297	61893	204402	156327	114631	119555	123295	104620	302009	165407	165701	132451	124519	12192	147565	38450	5739	2810	2364	
__too_low_aQual	144860	146394	115714	149127	141677	8139	184772	141176	147375	56176	152070	175578	64494	123416	150022	142597	134592	127003	121253	143150	167053	159557	127785	142247	8390	139726	40658	8950	3143	2351	
gene-ATP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
gene-ATP8	7	2	3	6	9	0	2	2	4	0	7	3	2	5	1	3	3	1	5	2	4	4	5	3	0	2	1	0	0	0	
gene-COX1	669	664	480	444	448	8	719	590	621	135	743	790	218	474	554	604	539	412	720	657	845	908	775	609	10	740	100	17	1	3	
gene-COX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
gene-COX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
gene-CYTB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
gene-LOC110039609	0	0	0	0	0	0	2	2	3	2	2	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	
gene-LOC110039610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
gene-LOC110039611	2	2	1	1	1	0	1	3	2	0	2	2	0	0	1	0	0	0	4	1	1	0	4	0	0	0	0	0	0	0	
gene-LOC110039612	1	1	1	7	2	0	0	0	0	0	5	2	1	1	4	7	2	2	0	0	5	0	0	0	0	2	0	0	0	0	
gene-LOC110039613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
gene-LOC110039614	133	130	84	132	109	7	111	71	78	8	103	113	41	72	99	104	79	62	100	83	155	84	72	92	6	132	21	2	3	2	
gene-LOC110039615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
gene-LOC110039616	1	2	1	2	2	0	1	0	0	0	0	2	0	1	0	2	1	3	1	1	0	0	0	0	0	1	0	0	0	0	
gene-LOC110039618	2	0	2	4	0	0	4	3	1	0	2	5	1	3	4	0	3	0	1	3	0	3	2	2	0	1	0	1	0	0	
gene-LOC110039619	0	0	0	0	0	0	3	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
gene-LOC110039620	4	6	6	6	7	0	6	7	2	0	6	4	2	6	7	1	9	5	6	4	8	10	9	5	0	5	1	0	0	0	
gene-LOC110039621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
gene-LOC110039622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
gene-LOC110039623	7	1	3	7	4	0	3	4	2	0	6	4	3	6	4	8	3	2	7	7	6	1	3	5	0	4	0	0	0	0	
gene-LOC110039624	0	2	3	2	2	0	0	0	0	0	0	0	0	0	0	2	4	0	1	0	0	1	0	0	0	1	0	0	0	0	
gene-LOC110039625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
gene-LOC110039626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
gene-LOC110039627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
gene-LOC110039628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
