sample	sitesA	sitesB	sitesC	sitesDf	countA	countB	countC	countD	fracA	fracB	fracC	fracD
A16_S265_L006_R1_001.fastq.ABCD.sam	2	37	2402	182	2	126	4646	270	0.000	0.025	0.921	0.054
A17_S266_L006_R1_001.fastq.ABCD.sam	16	219	32949	416	21	669	93589	537	0.000	0.007	0.987	0.006
A1_S245_L006_R1_001.fastq.ABCD.sam	39	156	7579	8188	50	641	9745	9568	0.002	0.032	0.487	0.478
A2_S246_L006_R1_001.fastq.ABCD.sam	23	197	14234	9955	25	574	23519	12839	0.001	0.016	0.636	0.347
A8_S255_L006_R1_001.fastq.ABCD.sam	1	21	1493	112	1	88	2986	169	0.000	0.027	0.920	0.052
A9_S256_L006_R1_001.fastq.ABCD.sam	30	160	14038	1024	34	572	24015	1124	0.001	0.022	0.933	0.044
B10_S267_L006_R1_001.fastq.ABCD.sam	71	311	968	8391	74	707	1367	12146	0.005	0.049	0.096	0.850
B15_S268_L006_R1_001.fastq.ABCD.sam	491	399	5966	13594	520	966	7804	17282	0.020	0.036	0.294	0.650
B1_S247_L006_R1_001.fastq.ABCD.sam	65	141	1286	17138	74	548	1656	22822	0.003	0.022	0.066	0.909
B2_S248_L006_R1_001.fastq.ABCD.sam	29	130	4702	12219	32	524	5869	15081	0.001	0.024	0.273	0.701
B5_S257_L006_R1_001.fastq.ABCD.sam	88	167	7445	15387	93	592	10127	20182	0.003	0.019	0.327	0.651
B7_S258_L006_R1_001.fastq.ABCD.sam	356	183	3869	16386	375	603	5031	22125	0.013	0.021	0.179	0.786
C14_S269_L006_R1_001.fastq.ABCD.sam	2	52	3166	202	2	169	6339	294	0.000	0.025	0.932	0.043
C16_S270_L006_R1_001.fastq.ABCD.sam	8	45	2737	389	9	174	5490	563	0.001	0.028	0.880	0.090
C1_S249_L006_R1_001.fastq.ABCD.sam	30	95	599	10778	43	362	764	12916	0.003	0.026	0.054	0.917
C2_S250_L006_R1_001.fastq.ABCD.sam	29	107	373	15795	33	431	704	20644	0.002	0.020	0.032	0.946
C7-1_S259_L006_R1_001.fastq.ABCD.sam	79	243	15614	4859	114	799	22694	5447	0.004	0.028	0.781	0.187
C7-2_S307_L006_R1_001.fastq.ABCD.sam	77	271	20165	6381	94	873	31324	7234	0.002	0.022	0.793	0.183
C9_S260_L006_R1_001.fastq.ABCD.sam	38	197	12650	3182	58	667	18479	3501	0.003	0.029	0.814	0.154
D12_S271_L006_R1_001.fastq.ABCD.sam	708	151	366	4451	781	456	444	5106	0.115	0.067	0.065	0.752
D13_S272_L006_R1_001.fastq.ABCD.sam	136	77	1963	4771	148	196	2822	6808	0.015	0.020	0.283	0.683
D1_S251_L006_R1_001.fastq.ABCD.sam	47	109	2693	8272	59	465	3278	10102	0.004	0.033	0.236	0.727
D2-1_S252_L006_R1_001.fastq.ABCD.sam	30	120	1904	8774	34	475	2205	10297	0.003	0.037	0.169	0.791
D2-2_S305_L006_R1_001.fastq.ABCD.sam	37	146	2624	11309	42	485	3121	13386	0.002	0.028	0.183	0.786
D7-1_S261_L006_R1_001.fastq.ABCD.sam	152	122	223	12198	157	509	466	15970	0.009	0.030	0.027	0.934
D7-2_S308_L006_R1_001.fastq.ABCD.sam	109	130	193	9744	116	448	320	11545	0.009	0.036	0.026	0.929
D8_S262_L006_R1_001.fastq.ABCD.sam	19	30	88	3971	23	85	242	7237	0.003	0.011	0.032	0.954
E1-1_S253_L006_R1_001.fastq.ABCD.sam	27	165	15503	38	37	527	22592	57	0.002	0.023	0.973	0.002
E1-2_S306_L006_R1_001.fastq.ABCD.sam	23	189	17093	88	32	486	24943	103	0.001	0.019	0.976	0.004
E15_S273_L006_R1_001.fastq.ABCD.sam	5	28	2583	93	8	83	5164	134	0.001	0.015	0.958	0.025
E16_S274_L006_R1_001.fastq.ABCD.sam	0	7	343	17	0	16	625	17	0.000	0.024	0.950	0.026
E2_S254_L006_R1_001.fastq.ABCD.sam	27	200	16986	295	36	748	26917	328	0.001	0.027	0.960	0.012
E6_S263_L006_R1_001.fastq.ABCD.sam	37	121	12538	4302	45	311	22766	5487	0.002	0.011	0.796	0.192
E7-1_S264_L006_R1_001.fastq.ABCD.sam	1	44	4113	79	1	142	8742	121	0.000	0.016	0.971	0.013
E7-2_S309_L006_R1_001.fastq.ABCD.sam	10	115	14954	243	14	303	33338	305	0.000	0.009	0.982	0.009
