sample	sitesA	sitesB	sitesC	sitesDf	countA	countB	countC	countD	fracA	fracB	fracC	fracD
V10_S286_L006_R1_001.fastq.ABCD.sam	16	205	106	9975	21	959	303	13360	0.001	0.065	0.021	0.912
V15_S295_L006_R1_001.fastq.ABCD.sam	20	250	150	18835	24	1233	574	28637	0.001	0.040	0.019	0.940
V16_S296_L006_R1_001.fastq.ABCD.sam	26	227	130	12682	32	1185	399	17715	0.002	0.061	0.021	0.916
V1_S275_L006_R1_001.fastq.ABCD.sam	24	271	186	16178	32	1373	444	22048	0.001	0.057	0.019	0.923
V2_S276_L006_R1_001.fastq.ABCD.sam	33	248	122	9423	43	1257	221	11895	0.003	0.094	0.016	0.887
V9_S285_L006_R1_001.fastq.ABCD.sam	0	29	12	713	0	56	30	1252	0.000	0.042	0.022	0.936
W10_S288_L006_R1_001.fastq.ABCD.sam	58	417	222	31960	73	2087	787	46163	0.001	0.042	0.016	0.940
W14_S297_L006_R1_001.fastq.ABCD.sam	26	288	130	13502	34	1282	335	16786	0.002	0.070	0.018	0.910
W15_S298_L006_R1_001.fastq.ABCD.sam	33	309	134	15320	37	1622	342	19626	0.002	0.075	0.016	0.907
W1_S277_L006_R1_001.fastq.ABCD.sam	2	112	56	1859	2	646	103	2821	0.001	0.181	0.029	0.790
W2_S278_L006_R1_001.fastq.ABCD.sam	36	332	144	13629	45	2343	369	17986	0.002	0.113	0.018	0.867
W8_S287_L006_R1_001.fastq.ABCD.sam	20	376	164	14458	26	2510	396	19380	0.001	0.112	0.018	0.869
X13_S299_L006_R1_001.fastq.ABCD.sam	5	92	70	5191	6	304	201	7544	0.001	0.038	0.025	0.937
X15_S300_L006_R1_001.fastq.ABCD.sam	30	223	116	10907	40	994	302	15100	0.002	0.060	0.018	0.919
X1_S279_L006_R1_001.fastq.ABCD.sam	22	246	165	10477	24	1278	335	14531	0.001	0.079	0.021	0.899
X2_S280_L006_R1_001.fastq.ABCD.sam	21	214	153	9937	24	975	336	12604	0.002	0.070	0.024	0.904
X6_S289_L006_R1_001.fastq.ABCD.sam	25	192	143	13238	30	937	406	18012	0.002	0.048	0.021	0.929
X8_S290_L006_R1_001.fastq.ABCD.sam	8	174	137	7730	11	847	286	10592	0.001	0.072	0.024	0.903
Y13_S301_L006_R1_001.fastq.ABCD.sam	13	190	94	7732	16	832	251	10049	0.001	0.075	0.023	0.901
Y15_S302_L006_R1_001.fastq.ABCD.sam	70	215	72	5203	102	682	118	6087	0.015	0.098	0.017	0.871
Y1_S281_L006_R1_001.fastq.ABCD.sam	28	249	172	9779	38	1212	282	11980	0.003	0.090	0.021	0.887
Y2_S282_L006_R1_001.fastq.ABCD.sam	25	270	126	8880	27	1224	259	11012	0.002	0.098	0.021	0.879
Y8_S291_L006_R1_001.fastq.ABCD.sam	25	201	94	6037	38	884	182	7202	0.005	0.106	0.022	0.867
Y9_S292_L006_R1_001.fastq.ABCD.sam	28	220	105	7558	35	989	211	9311	0.003	0.094	0.020	0.883
Z13_S303_L006_R1_001.fastq.ABCD.sam	1	28	31	656	1	58	51	1194	0.001	0.044	0.039	0.916
Z15_S304_L006_R1_001.fastq.ABCD.sam	26	220	156	19488	27	980	658	29305	0.001	0.032	0.021	0.946
Z1_S283_L006_R1_001.fastq.ABCD.sam	2	69	50	2844	2	197	193	5352	0.000	0.034	0.034	0.932
Z2_S284_L006_R1_001.fastq.ABCD.sam	0	22	9	194	0	37	10	320	0.000	0.101	0.027	0.872
Z5_S293_L006_R1_001.fastq.ABCD.sam	1	10	15	213	1	18	32	341	0.003	0.046	0.082	0.870
Z6_S294_L006_R1_001.fastq.ABCD.sam	0	14	22	342	0	17	30	586	0.000	0.027	0.047	0.926
