sam,rankbyInitialWeight,rankbyInitialArea,rankbyPercArea,rankbyNetArea,rankByNetGrowth,rankByPercGrowth,geno,area,perimeter,areaFinal,perimeterFinal,netArea,netPerimeter,percArea,percPerimeter,WT1,WT2,netGrowth,percGrowth
A17,1,1,16,5,3,8,A,0.254,2.047,0.455,2.509,0.201,0.462,79.13385827,22.56961407,11.83614793,12.65540403,0.8192561,6.92164465
A14,2,6,12,8,1,4,A,0.541,2.84,0.796,3.314,0.255,0.474,47.1349353,16.69014085,11.86695118,12.59382055,0.72686937,6.125156824
A15,3,3,7,2,7,12,A,0.27,2.108,0.348,2.289,0.078,0.181,28.88888889,8.586337761,12.12877878,13.07879042,0.95001164,7.832706468
A12,4,7,11,9,12,17,A,0.58,3.043,0.842,3.465,0.262,0.422,45.17241379,13.86789353,12.30589746,13.42519746,1.1193,9.09563893
A13,5,2,17,6,2,6,A,0.26,1.967,0.467,2.605,0.207,0.638,79.61538462,32.43518048,12.49841776,13.29433258,0.79591482,6.368124632
A16,6,4,15,4,10,16,A,0.294,2.056,0.488,2.532,0.194,0.476,65.98639456,23.15175097,12.79874942,13.89477145,1.09602203,8.563508778
A9,7,9,14,12,6,9,A,0.762,3.679,1.21,4.247,0.448,0.568,58.79265092,15.43897798,13.2376957,14.18729296,0.94959726,7.173433213
A11,8,8,9,7,11,15,A,0.61,2.967,0.858,3.563,0.248,0.596,40.6557377,20.0876306,13.2993022,14.40283512,1.10353292,8.297675347
A8,9,10,10,11,8,11,A,0.957,3.979,1.351,4.472,0.394,0.493,41.17032393,12.39004775,13.49952331,14.49521033,0.99568702,7.375719847
A10,10,5,6,3,9,10,A,0.502,2.991,0.637,3.229,0.135,0.238,26.89243028,7.957204948,13.61503548,14.61837728,1.0033418,7.369366033
A6,11,12,1,1,4,3,A,1.389,4.354,1.426,4.599,0.037,0.245,2.663786897,5.627009646,14.44672317,15.28809757,0.8413744,5.823980913
A5,12,11,13,14,5,5,A,1.298,4.546,1.955,5.186,0.657,0.64,50.61633282,14.0783106,14.82406296,15.74227569,0.91821273,6.194069281
A7,13,13,8,13,13,13,A,1.39,4.69,1.841,5.247,0.451,0.557,32.44604317,11.87633262,15.50173441,16.72761129,1.22587688,7.907998212
A3,14,15,5,15,15,14,A,2.893,6.463,3.608,7.159,0.715,0.696,24.7148289,10.76899273,21.84720343,23.60956457,1.76236114,8.066758501
A4,15,14,3,10,14,7,A,2.877,6.735,3.204,7.188,0.327,0.453,11.36600626,6.726057906,22.69429275,24.22539932,1.53110657,6.746659113
A1,16,16,4,17,16,2,A,7.424,10.988,8.339,11.453,0.915,0.465,12.32489224,4.231889334,67.48991572,69.55853455,2.06861883,3.065078402
A2,17,17,2,16,17,1,A,8.34,11.569,9.059,12.158,0.719,0.589,8.621103118,5.091191979,84.55491494,86.90967852,2.35476358,2.784892613
B15,1,1,12,3,1,8,B,0.161,1.706,0.256,1.905,0.095,0.199,59.00621118,11.66471278,10.36529285,10.97725435,0.6119615,5.903948001
B14,2,3,14,5,6,12,B,0.18,1.752,0.303,2.081,0.123,0.329,68.33333333,18.77853881,11.35869759,12.08575689,0.7270593,6.40090375
B13,3,4,3,2,7,14,B,0.251,1.918,0.345,2.149,0.094,0.231,37.4501992,12.04379562,11.51271383,12.27050731,0.75779348,6.582231533
B12,4,5,5,4,3,10,B,0.273,2.085,0.384,2.398,0.111,0.313,40.65934066,15.01199041,11.57432032,12.27820525,0.70388493,6.081436409
B8,5,7,10,8,2,6,B,0.523,3.076,0.824,3.566,0.301,0.49,57.55258126,15.92977893,11.79764387,12.47835154,0.68070767,5.769861148
B10,6,2,15,6,8,13,B,0.175,1.661,0.362,2.318,0.187,0.657,106.8571429,39.55448525,11.92855767,12.70928957,0.7807319,6.545065393
B11,7,6,1,1,5,9,B,0.298,2.072,0.374,2.381,0.076,0.309,25.5033557,14.91312741,12.19038528,12.9171338,0.72674852,5.961653412
B9,8,8,4,7,4,7,B,0.579,2.979,0.803,3.265,0.224,0.286,38.68739206,9.600537093,12.54462263,13.27123877,0.72661614,5.792251879
B5,9,10,8,10,9,5,B,0.937,4.012,1.352,4.698,0.415,0.686,44.29028815,17.09870389,14.03087933,14.82622151,0.79534218,5.668512723
B7,10,9,9,9,10,11,B,0.797,3.734,1.181,4.38,0.384,0.646,48.18067754,17.30048206,14.39281749,15.28039963,0.88758214,6.166840791
